Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
33;29;Thomas;Svendsen;M;NOR;OSLO;SS4;Menn;06:24;01:25;2014-08-03T14:35:24.0330000;OSLO
34;44;Stian Lie;Hansen;M;NOR;Andebarkji TSK;SS4;Menn;06:24;01:25;2014-08-03T14:50:24.1340000;DRAMMEN
35;26;Kristian;Eckhoff;M;NOR;SK Rye sykkel;SS4;Menn;06:25;01:26;2014-08-03T14:32:25.5500000;Oslo
36;15;Alf Petter;Syvertsen;M;NOR;Freeride Radicals;SS4;Menn;06:27;01:28;2014-08-03T14:21:27.6990000;OSLO
37;57;Petter;Christiansen;M;NOR;RCK;SS4;Menn;06:30;01:31;2014-08-03T15:03:30.0710000;Bergen
38;47;Aleksander;Ødegård;M;NOR;KONGSBERG;SS4;Menn;06:30;01:31;2014-08-03T14:53:30.9750000;KONGSBERG
39;45;Lars;Stensløkken;M;NOR;Lillehammer CK / NTG Lillehammer;SS4;Menn;06:32;01:33;2014-08-03T14:51:32.4260000;LILLEHAMMER
40;48;Fredrik;Arnesen;M;NOR;MOSS;SS4;Menn;06:33;01:34;2014-08-03T14:54:33.3130000;Moss
41;49;Geir Vidar;Bjørndalen;M;NOR;Romeriksåsen SK;SS4;Menn;06:35;01:36;2014-08-03T14:55:35.8100000;Gjerdrum
4;40;Morten;Ligård;M;NOR;Kongsberg IF Sykkel;SS4;Menn junior;06:46;01:47;2014-08-03T14:46:46.5970000;Kongsberg
43;62;Frank;Seidel;M;NOR;SK Rye sykkel / Traktorbike;SS4;Menn;06:55;01:56;2014-08-03T15:08:55.7270000;Hvam
44;41;Truls Kristian;Syvertsen;M;NOR;Drammen CK;SS4;Menn;06:59;02:00;2014-08-03T14:47:59.1130000;Steinberg
45;33;Leiv;Tvenning;M;NOR;Bergen MTB Klubb;SS4;Menn;06:59;02:00;2014-08-03T14:39:59.9950000;BERGEN
46;35;Øyvind;Horgen;M;NOR;Sande SpKl Sykkel / Blodsmak SK;SS4;Menn;07:00;02:01;2014-08-03T14:42:00.7390000;SANDE I VESTFOLD
47;55;John;Magee;M;NOR;Statoil;SS4;Menn;07:09;02:10;2014-08-03T15:02:09.2570000;OSLO
48;39;Thomas;Borthen;M;NOR;Heydi;SS4;Menn;07:09;02:10;2014-08-03T14:46:09.5970000;SKEDSMOKORSET
49;84;Håvard;Lior;M;NOR;OSLO;SS4;Menn;07:10;02:11;2014-08-03T15:31:10.8610000;OSLO
50;50;Stian;Wold;M;NOR;DRAMMEN;SS4;Menn;07:14;02:15;2014-08-03T14:57:14.2170000;Drammen
51;58;Robert;Torp;M;NOR;Gresvik IF;SS4;Menn;07:20;02:21;2014-08-03T15:05:20.2910000;Fredrikstad
52;70;Morten;Westberg;M;NOR;Brembo Boyz;SS4;Menn;07:26;02:27;2014-08-03T15:17:26.3090000;OSLO
53;51;Ola;Engene;M;NOR;VESTFOSSEN;SS4;Menn;07:32;02:33;2014-08-03T14:58:32.9540000;VESTFOSSEN
54;75;Stian;Bergeland;M;NOR;Oppdal SK;SS4;Menn;08:11;03:12;2014-08-03T15:22:11.7200000;OSLO
55;74;Roy;Ripe;M;NOR;SK Rye sykkel / Team Ibis;SS4;Menn;08:15;03:16;2014-08-03T15:22:15.2210000;Fagerstrand
56;61;Knut Espen;Bryhn;M;NOR;Drøbak-Frogn IL Sykkel;SS4;Menn;08:15;03:16;2014-08-03T15:09:15.5580000;DRØBAK
57;65;Kent;Gundersen;M;NOR;Skogens Konger;SS4;Menn;08:19;03:20;2014-08-03T15:13:19.7380000;Lierstranda
58;56;Even;Windju;M;NOR;TRYSIL;SS4;Menn;08:29;03:30;2014-08-03T15:04:29.1690000;TRYSIL
59;59;Henrik;Sagen;M;NOR;BERGEN;SS4;Menn;08:37;03:38;2014-08-03T15:07:37.5120000;bergen
5;63;Aleksander;Østerhus;M;NOR;Kristiansands CK;SS4;Menn junior;09:39;04:40;2014-08-03T15:12:39.3550000;KRISTIANSAND S
61;82;Joachim;Venberget;M;NOR;KONGSBERG;SS4;Menn;11:39;06:40;2014-08-03T15:33:39.8280000;KONGSBERG
62;54;Erik;Olsson;M;NOR;Trysil SK / Team TDS;SS4;Menn;16:45;11:46;2014-08-03T15:10:45.2940000;Trysil
